"ISO3","ISO2","COUNTRY","REPORTSITE_CODE","ISO_YEAR","ISO_Week","MEASURE_CODE","AGEGROUP_CODE","ValueString","ValueNumeric"
"AFG","AF","Afghanistan","AFG001",2019,12,"ILI_CASES","15TO49","44","44"
"AFG","AF","Afghanistan","AFG001",2019,14,"ILI_CASES","2TO4","74","74"
"AFG","AF","Afghanistan","AFG001",2019,14,"ILI_CASES","15TO49","74","74"
"AFG","AF","Afghanistan","AFG001",2019,14,"ILI_CASES","5TO14","70","70"
"AFG","AF","Afghanistan","AFG001",2019,13,"ILI_CASES","0TO1","163","163"
"AFG","AF","Afghanistan","AFG001",2019,14,"ILI_CASES","All","463","463"
"AFG","AF","Afghanistan","AFG001",2019,17,"ILI_CASES","65TO","27","27"
"AFG","AF","Afghanistan","AFG001",2019,14,"ILI_CASES","0TO1","151","151"
"AFG","AF","Afghanistan","AFG001",2019,12,"ILI_CASES","0TO1","143","143"
"AFG","AF","Afghanistan","AFG001",2019,13,"ILI_CASES","15TO49","76","76"
"AFG","AF","Afghanistan","AFG001",2019,13,"ILI_CASES","All","500","500"
"AFG","AF","Afghanistan","AFG001",2019,14,"ILI_CASES","50TO64","53","53"
"AFG","AF","Afghanistan","AFG001",2019,13,"ILI_CASES","65TO","52","52"
"AFG","AF","Afghanistan","AFG001",2019,12,"ILI_CASES","65TO","30","30"
"AFG","AF","Afghanistan","AFG001",2019,12,"ILI_CASES","5TO14","56","56"
"AFG","AF","Afghanistan","AFG001",2019,16,"ILI_CASES","5TO14","69","69"
"AFG","AF","Afghanistan","AFG001",2019,13,"ILI_CASES","2TO4","84","84"
"AFG","AF","Afghanistan","AFG001",2019,14,"ILI_CASES","65TO","41","41"
"AFG","AF","Afghanistan","AFG001",2019,1,"ILI_CASES","0TO1","153","153"
"AFG","AF","Afghanistan","AFG001",2019,12,"ILI_CASES","All","387","387"
"AFG","AF","Afghanistan","AFG001",2019,12,"ILI_CASES","50TO64","38","38"
"AFG","AF","Afghanistan","AFG001",2019,13,"ILI_CASES","50TO64","57","57"
"AFG","AF","Afghanistan","AFG001",2019,13,"ILI_CASES","5TO14","68","68"
"AFG","AF","Afghanistan","AFG001",2019,12,"ILI_CASES","2TO4","76","76"
"AFG","AF","Afghanistan","AFG001",2019,1,"ILI_OUTPATIENTS","5TO14","1990","1990"
"AFG","AF","Afghanistan","AFG001",2019,1,"ILI_OUTPATIENTS","0TO1","3068","3068"
"AFG","AF","Afghanistan","AFG001",2019,9,"ILI_OUTPATIENTS","2TO4","2562","2562"
"AFG","AF","Afghanistan","AFG001",2019,11,"ILI_OUTPATIENTS","0TO1","2825","2825"
"AFG","AF","Afghanistan","AFG001",2019,7,"ILI_OUTPATIENTS","All","11900","11900"
"AFG","AF","Afghanistan","AFG001",2019,8,"ILI_OUTPATIENTS","0TO1","2931","2931"
"AFG","AF","Afghanistan","AFG001",2019,15,"ILI_OUTPATIENTS","65TO","1314","1314"
"AFG","AF","Afghanistan","AFG001",2019,1,"ILI_OUTPATIENTS","15TO49","2017","2017"
"AFG","AF","Afghanistan","AFG001",2019,5,"ILI_OUTPATIENTS","65TO","1277","1277"
"AFG","AF","Afghanistan","AFG001",2019,1,"ILI_OUTPATIENTS","50TO64","1364","1364"
"AFG","AF","Afghanistan","AFG001",2019,5,"ILI_OUTPATIENTS","5TO14","1744","1744"
"AFG","AF","Afghanistan","AFG001",2019,1,"ILI_OUTPATIENTS","All","12166","12166"
"AFG","AF","Afghanistan","AFG001",2019,7,"ILI_OUTPATIENTS","65TO","1398","1398"
"AFG","AF","Afghanistan","AFG001",2019,7,"ILI_OUTPATIENTS","5TO14","1725","1725"
"AFG","AF","Afghanistan","AFG001",2019,7,"ILI_OUTPATIENTS","50TO64","1334","1334"
"AFG","AF","Afghanistan","AFG001",2019,7,"ILI_OUTPATIENTS","2TO4","2366","2366"
"AFG","AF","Afghanistan","AFG001",2019,7,"ILI_OUTPATIENTS","15TO49","2112","2112"
"AFG","AF","Afghanistan","AFG001",2019,7,"ILI_OUTPATIENTS","0TO1","2965","2965"
"AFG","AF","Afghanistan","AFG001",2019,9,"ILI_OUTPATIENTS","All","12093","12093"
"AFG","AF","Afghanistan","AFG001",2019,1,"ILI_OUTPATIENTS","2TO4","2415","2415"
"AFG","AF","Afghanistan","AFG001",2019,11,"ILI_OUTPATIENTS","65TO","1655","1655"
"AFG","AF","Afghanistan","AFG001",2019,12,"ILI_OUTPATIENTS","2TO4","2196","2196"
"AFG","AF","Afghanistan","AFG001",2019,6,"ILI_OUTPATIENTS","15TO49","2100","2100"
"AFG","AF","Afghanistan","AFG001",2019,6,"ILI_OUTPATIENTS","2TO4","2255","2255"
"AFG","AF","Afghanistan","AFG001",2019,6,"ILI_OUTPATIENTS","50TO64","1420","1420"
"AFG","AF","Afghanistan","AFG001",2019,9,"ILI_OUTPATIENTS","65TO","1426","1426"
