"ISO3","ISO2","COUNTRY","REPORTSITE_CODE","ISO_YEAR","ISO_WEEK","ISO_START_DATE","ISO_END_DATE","MEASURE_CODE","VIRUSTYPE_CODE","VIRUS_SUB_CODE","ValueString","ValueNumeric"
"AFG","AF","Afghanistan","AF01      ",2019,1,"2018-12-31","2019-01-06","DETECTED_NB","ALL_INF","TOTAL",0,0
"AFG","AF","Afghanistan","AF01      ",2019,1,"2018-12-31","2019-01-06","DETECTED_NB","INF_A","AH1N12009",0,0
"AFG","AF","Afghanistan","AF01      ",2019,1,"2018-12-31","2019-01-06","DETECTED_NB","INF_A","AH3",0,0
"AFG","AF","Afghanistan","AF01      ",2019,1,"2018-12-31","2019-01-06","DETECTED_NB","INF_A","AH5",0,0
"AFG","AF","Afghanistan","AF01      ",2019,1,"2018-12-31","2019-01-06","DETECTED_NB","INF_A","AH7N9",0,0
"AFG","AF","Afghanistan","AF01      ",2019,1,"2018-12-31","2019-01-06","DETECTED_NB","INF_A","ANOTSUBTYPED",0,0
"AFG","AF","Afghanistan","AF01      ",2019,1,"2018-12-31","2019-01-06","DETECTED_NB","INF_A","AOTHER_SUBTYPE",0,0
"AFG","AF","Afghanistan","AF01      ",2019,1,"2018-12-31","2019-01-06","DETECTED_NB","INF_A","TOTAL",0,0
"AFG","AF","Afghanistan","AF01      ",2019,1,"2018-12-31","2019-01-06","DETECTED_NB","INF_B","BNOTDETERMINED",0,0
"AFG","AF","Afghanistan","AF01      ",2019,1,"2018-12-31","2019-01-06","DETECTED_NB","INF_B","BVICTORIA",0,0
"AFG","AF","Afghanistan","AF01      ",2019,1,"2018-12-31","2019-01-06","DETECTED_NB","INF_B","BYAMAGATA",0,0
"AFG","AF","Afghanistan","AF01      ",2019,1,"2018-12-31","2019-01-06","DETECTED_NB","INF_B","TOTAL",0,0
"AFG","AF","Afghanistan","AF01      ",2019,1,"2018-12-31","2019-01-06","DETECTED_NB","NEG_VIRUS","TOTAL",30,30
"AFG","AF","Afghanistan","AF01      ",2019,1,"2018-12-31","2019-01-06","DETECTED_NB","OTHER_VIRUS","ADENO",0,0
"AFG","AF","Afghanistan","AF01      ",2019,1,"2018-12-31","2019-01-06","DETECTED_NB","OTHER_VIRUS","BOCA",0,0
"AFG","AF","Afghanistan","AF01      ",2019,1,"2018-12-31","2019-01-06","DETECTED_NB","OTHER_VIRUS","CORONA",0,0
"AFG","AF","Afghanistan","AF01      ",2019,1,"2018-12-31","2019-01-06","DETECTED_NB","OTHER_VIRUS","METAPNEUMO",0,0
"AFG","AF","Afghanistan","AF01      ",2019,1,"2018-12-31","2019-01-06","DETECTED_NB","OTHER_VIRUS","OTHER",0,0
"AFG","AF","Afghanistan","AF01      ",2019,1,"2018-12-31","2019-01-06","DETECTED_NB","OTHER_VIRUS","PARAINFLUENZA",0,0
"AFG","AF","Afghanistan","AF01      ",2019,1,"2018-12-31","2019-01-06","DETECTED_NB","OTHER_VIRUS","RHINO",0,0
"AFG","AF","Afghanistan","AF01      ",2019,1,"2018-12-31","2019-01-06","DETECTED_NB","OTHER_VIRUS","RSV",0,0
"AFG","AF","Afghanistan","AF01      ",2019,1,"2018-12-31","2019-01-06","DETECTED_NB","OTHER_VIRUS","TOTAL",0,0
"AFG","AF","Afghanistan","AF01      ",2019,1,"2018-12-31","2019-01-06","SPEC_PROCESSED_NB",,,30,30
"AFG","AF","Afghanistan","AF01      ",2019,1,"2018-12-31","2019-01-06","SPEC_RECEIVED_NB",,,52,52
"AUS","AU","Australia","AU03      ",2019,1,"2018-12-31","2019-01-06","DETECTED_NB","ALL_INF","TOTAL",29,29
"AUS","AU","Australia","AU03      ",2019,1,"2018-12-31","2019-01-06","DETECTED_NB","INF_A","AH1N12009",9,9
"AUS","AU","Australia","AU03      ",2019,1,"2018-12-31","2019-01-06","DETECTED_NB","INF_A","AH3",16,16
"AUS","AU","Australia","AU03      ",2019,1,"2018-12-31","2019-01-06","DETECTED_NB","INF_A","TOTAL",25,25
"AUS","AU","Australia","AU03      ",2019,1,"2018-12-31","2019-01-06","DETECTED_NB","INF_B","TOTAL",4,4
"AUS","AU","Australia","AU03      ",2019,1,"2018-12-31","2019-01-06","DETECTED_NB","NEG_VIRUS","TOTAL",115,115
"AUS","AU","Australia","AU03      ",2019,1,"2018-12-31","2019-01-06","SPEC_PROCESSED_NB",,,144,144
"AUS","AU","Australia","AU03      ",2019,2,"2019-01-07","2019-01-13","DETECTED_NB","ALL_INF","TOTAL",0,0
"AUS","AU","Australia","AU03      ",2019,2,"2019-01-07","2019-01-13","DETECTED_NB","INF_A","TOTAL",0,0
"AUS","AU","Australia","AU03      ",2019,3,"2019-01-14","2019-01-20","DETECTED_NB","ALL_INF","TOTAL",0,0
"AUS","AU","Australia","AU03      ",2019,3,"2019-01-14","2019-01-20","DETECTED_NB","INF_A","TOTAL",0,0
"AUS","AU","Australia","AU03      ",2019,4,"2019-01-21","2019-01-27","DETECTED_NB","ALL_INF","TOTAL",0,0
"AUS","AU","Australia","AU03      ",2019,4,"2019-01-21","2019-01-27","DETECTED_NB","INF_A","TOTAL",0,0
"AUS","AU","Australia","AU03      ",2019,5,"2019-01-28","2019-02-03","DETECTED_NB","ALL_INF","TOTAL",0,0
"AUS","AU","Australia","AU03      ",2019,5,"2019-01-28","2019-02-03","DETECTED_NB","INF_A","TOTAL",0,0
"AUS","AU","Australia","AU03      ",2019,6,"2019-02-04","2019-02-10","DETECTED_NB","ALL_INF","TOTAL",0,0
"AUS","AU","Australia","AU03      ",2019,6,"2019-02-04","2019-02-10","DETECTED_NB","INF_A","TOTAL",0,0
"AUS","AU","Australia","AU03      ",2019,7,"2019-02-11","2019-02-17","DETECTED_NB","ALL_INF","TOTAL",0,0
"AUS","AU","Australia","AU03      ",2019,7,"2019-02-11","2019-02-17","DETECTED_NB","INF_A","TOTAL",0,0
"AUS","AU","Australia","AU03      ",2019,8,"2019-02-18","2019-02-24","DETECTED_NB","ALL_INF","TOTAL",0,0
"AUS","AU","Australia","AU03      ",2019,8,"2019-02-18","2019-02-24","DETECTED_NB","INF_A","TOTAL",0,0
"AUS","AU","Australia","AU03      ",2019,9,"2019-02-25","2019-03-03","DETECTED_NB","ALL_INF","TOTAL",0,0
"AUS","AU","Australia","AU03      ",2019,9,"2019-02-25","2019-03-03","DETECTED_NB","INF_A","TOTAL",0,0
"AUS","AU","Australia","AU03      ",2019,10,"2019-03-04","2019-03-10","DETECTED_NB","ALL_INF","TOTAL",0,0
"AUS","AU","Australia","AU03      ",2019,10,"2019-03-04","2019-03-10","DETECTED_NB","INF_A","TOTAL",0,0
"AUS","AU","Australia","AU03      ",2019,11,"2019-03-11","2019-03-17","DETECTED_NB","ALL_INF","TOTAL",0,0
"AUS","AU","Australia","AU03      ",2019,11,"2019-03-11","2019-03-17","DETECTED_NB","INF_A","TOTAL",0,0
"AUS","AU","Australia","AU03      ",2019,12,"2019-03-18","2019-03-24","DETECTED_NB","ALL_INF","TOTAL",0,0
"AUS","AU","Australia","AU03      ",2019,12,"2019-03-18","2019-03-24","DETECTED_NB","INF_A","TOTAL",0,0
"AUS","AU","Australia","AU03      ",2019,13,"2019-03-25","2019-03-31","DETECTED_NB","ALL_INF","TOTAL",0,0
"AUS","AU","Australia","AU03      ",2019,13,"2019-03-25","2019-03-31","DETECTED_NB","INF_A","TOTAL",0,0
"AUS","AU","Australia","AU03      ",2019,14,"2019-04-01","2019-04-07","DETECTED_NB","ALL_INF","TOTAL",0,0
"AUS","AU","Australia","AU03      ",2019,14,"2019-04-01","2019-04-07","DETECTED_NB","INF_A","TOTAL",0,0
"AUS","AU","Australia","AU03      ",2019,15,"2019-04-08","2019-04-14","DETECTED_NB","ALL_INF","TOTAL",0,0
"AUS","AU","Australia","AU03      ",2019,15,"2019-04-08","2019-04-14","DETECTED_NB","INF_A","TOTAL",0,0
"AUS","AU","Australia","AU03      ",2019,16,"2019-04-15","2019-04-21","DETECTED_NB","ALL_INF","TOTAL",0,0
"AUS","AU","Australia","AU03      ",2019,16,"2019-04-15","2019-04-21","DETECTED_NB","INF_A","TOTAL",0,0
"AUS","AU","Australia","AU03      ",2019,17,"2019-04-22","2019-04-28","DETECTED_NB","ALL_INF","TOTAL",0,0
"AUS","AU","Australia","AU03      ",2019,17,"2019-04-22","2019-04-28","DETECTED_NB","INF_A","TOTAL",0,0
